url,Position,Company,Location,Job_Description
"https://www.glassdoor.co.in/job-listing/cyber-security-analyst-hewlett-packard-JV_IC2940587_KO0,22_KE23,38.htm?jl=1009398108898",Cyber Security Analyst,Hewlett Packard,Bengaluru,"Job Description
As the world around us becomes more connected and more digital, there are increased opportunities for fraud and disruption due to cybersecurity attacks. The need for companies, products, and services to be secure is more important than ever in this constantly changing landscape.
Are you passionate about keeping good people safe from bad actors? We are too! We are HP Cybersecurity, and we are tasked with the security of the HP enterprise. As HP continues our digital transformation, the work of the cybersecurity professional is never complete and is always interesting. Come be a part of making a difference with us!

Education and Experience Required"
"https://www.glassdoor.co.in/job-listing/order-to-cash-operations-analyst-trellix-JV_IC2940587_KO0,32_KE33,40.htm?jl=1009338766714",Order to Cash Operations Analyst,Trellix,Bengaluru,"About Trellix:
Trellix is the cybersecurity company transforming security operations with artificial intelligence (AI), analytics, and automation to create a resilient digital world. Our market-leading AI-powered XDR Platform learns and adapts to disrupt active threats and empower CISOs with living security. The platform’s open architecture and broadest set of native security controls across endpoint, email, network, cloud, and data security integrates with over 500 third-party tools to create multi-vector, multi-vendor event correlation and context to speed up investigations. The Trellix Advanced Research Center provides an additional layer of protection by continuously informing the platform on the latest threat actor TTPs (techniques, tactics, and procedures) and recommendations from millions of global sensors. Trellix and an extensive partner ecosystem accelerate technology innovation and empower over 40,000 business and government customers to build confidence in the protection and resilience of their operations. Learn more at Trellix.com."
"https://www.glassdoor.co.in/job-listing/cybersecurity-third-party-risk-assessor-hewlett-packard-JV_IC2940587_KO0,39_KE40,55.htm?jl=1009423285509",Cybersecurity Third-Party Risk Assessor,Hewlett Packard,Bengaluru,"As the world around us becomes more connected and digital, cybersecurity attacks increase opportunities for fraud and disruption. In this constantly changing landscape, the need for companies, products, and services to be secure is more important than ever.
Are you passionate about keeping good people safe from bad actors? We are, too! We are HP Cybersecurity, and we are tasked with the security of the HP enterprise. As HP continues our digital transformation, the work of the cybersecurity professional is never complete and is always interesting. Come be a part of making a difference with us!
The HP Cybersecurity Risk Assessor is responsible for end-to-end cyber security risk management, including risk identification, analysis, and evaluation, identifying remediation requirements, and supporting remediation efforts. Defined risk assessment processes and risk management methodologies are utilized to meet these objectives."
"https://www.glassdoor.co.in/job-listing/cybersecurity-analyst-saaki-argus-averil-consulting-JV_KO0,21_KE22,51.htm?jl=1008545323459",Cybersecurity Analyst,Saaki Argus & Averil Consulting,India,"Job Description:


Role: Principal Cyber security Analyst
Level of Expertise:
Strong expertise in cloud security, DNS, DDoS, IDS/IPS, email security, and email and web advance threat protection. Improving defense by examining email, DNS, and DDoS attack patterns. Monitoring baseline changes for external threat threats detection and automating preventive mitigation."
"https://www.glassdoor.co.in/job-listing/early-career-risk-intelligence-analyst-emergent-risk-international-JV_KO0,38_KE39,66.htm?jl=1009411319387",Early Career Risk Intelligence Analyst,Emergent Risk International,India,"Emergent Risk International (ERI) is seeking to hire full-time early career Risk Intelligence Analyst to be embedded with one of our multinational clients, to be based in Bengaluru, India.
Candidates for this role will have an analytical mindset, desire to work in a dynamic, fast-paced environment with a focus on global threat intelligence analysis, geopolitics, physical security and crisis communications. This is a remote role. The position will be based in Bengaluru, India.
About US: ERI is a global risk and security intelligence advisory firm headquartered in Newport, Rhode Island with offices in Austin, Washington DC, Greater Boston, the United Kingdom, Ireland, India, Mexico, Portugal, and Singapore. We support global security, risk management, business continuity and other risk-focused departments of Fortune 500 companies and multi-national organizations. We help our clients assess risk to their organizations; whether that risk emanates from geopolitics, security threats, economic forces or regulatory initiatives that may impact bottom-line revenue or threaten personnel and company assets."
"https://www.glassdoor.co.in/job-listing/cybersecurity-iam-cyberark-implementation-associate-pwc-JV_IC2940587_KO0,51_KE52,55.htm?jl=1009346533169",Cybersecurity-IAM - CyberArk Implementation- Associate,PwC,Bengaluru,"Line of Service
Advisory
Industry/Sector
Not Applicable
Specialism
Cybersecurity & Privacy
Management Level
Associate
Job Description & Summary
A career in our Cybersecurity, Privacy and Forensics will provide you the opportunity to solve our clients most critical business and data protection related challenges. You will be part of a growing team driving strategic programs, data analytics, innovation, deals, cyber resilency, response, and technical implementation activities. You will have access to not only the top Cybersecurity, Privacy and Forensics professionals at PwC, but at our clients and industry analysts across the globe.

Our Identity and Access Management team focuses on helping our clients design, implement and operate effective access controls that protect against threats, support business objectives, and enable growth. As companies pivot toward a digital business model, exponentially more data is generated and shared among organizations, partners and customers. You'll play an integral role in helping our clients ensure they are protected by using the latest strategies and tools in effectively managing access to all this data. Our team helps organizations manage access to critical assets by focusing on areas like Access Management (AM), Identity Governance & Administration (IGA), Privileged Access Management (PAM), Entitlement Management and Directories.

In joining, you'll be a part of a team that values technical and business acumen and provides training and development to extend and develop your skills while, fostering a strong collaborative culture. You'll have the opportunity to focus on Access Management (AM), Identity Governance & Administration (IGA), Privileged Access Management (PAM), Entitlement Management and Directories, among other skills.

Degrees/Field of Study required:
Degrees/Field of Study preferred:
Not Specified
No
No"
"https://www.glassdoor.co.in/job-listing/analyst-cyber-defense-news-corp-JV_IC2940587_KO0,21_KE22,31.htm?jl=1009417863153","Analyst, Cyber Defense",News Corp,Bengaluru,"Job Description :
Job Title: Analyst, Cyber Defense
Job Location: Bengaluru, Karnataka
Work Arrangement: Hybrid (3 days per week in office)
Shifts: Rotational Shifts
The Role:
We are looking for cyber defense analysts who will be responsible for monitoring and working on active alerts on various security tools (SIEM/XSOAR). The individual in this role is expected to have meticulous attention to detail, outstanding problem-solving skills, work comfortably under pressure and deliver on tight deadlines."
"https://www.glassdoor.co.in/job-listing/sr-cybersecurity-analyst-procore-technologies-JV_IC2940587_KO0,24_KE25,45.htm?jl=1009391605633",Sr. Cybersecurity Analyst,Procore Technologies,Bengaluru,"Job Description

We’re looking for a Senior Cybersecurity Analyst to join Procore’s Cyber Fusion Center. In this role, you’ll play a crucial part in safeguarding our organization's digital infrastructure. Your primary goal will be to protect Procore’s assets and data from cyber threats and vulnerabilities.

As a Cybersecurity Analyst, you’ll partner with cross-functional teams, including IT, Development, and Operations, to monitor, detect, and respond to security incidents. Use your analytical skills, technical expertise, and attention to detail to enhance our security posture and mitigate risks. Join us to make a significant impact on our security landscape—Apply today."
"https://www.glassdoor.co.in/job-listing/cyber-security-analyst-cloudsek-JV_IC2940587_KO0,22_KE23,31.htm?jl=1009392329795",Cyber Security Analyst,cloudsek,Bengaluru,"WHO ARE WE?
We are a bunch of super enthusiastic, passionate, and highly driven people, working to achieve a common goal! We believe that work and the workplace should be joyful and always buzzing with energy!
CloudSEK, one of India’s most trusted Cyber security product companies, is on a mission to build the world’s fastest and most reliable AI technology that identifies and resolves digital threats in real-time. The central proposition is leveraging Artificial Intelligence and Machine Learning to create a quick and reliable analysis and alert system that provides rapid detection across multiple internet sources, precise threat analysis, and prompt resolution with minimal human intervention."
"https://www.glassdoor.co.in/job-listing/senior-cybersecurity-analyst-cargill-JV_IC2940587_KO0,28_KE29,36.htm?jl=1009370662762",Senior Cybersecurity Analyst,Cargill,Bengaluru,"Job Purpose and Impact

The Sr Analyst- Cybersecurity will design, develop, and maintain information security policies, standards, and guidelines to address evolving requirements and emerging security threats. In this role, you will be a key member of the Security, Risk and Controls team who will ensure policies, standards, and guidelines are up to date and in line with enterprise guidance. Additionally, you will prepare and distribute information security reports for key stakeholders on the state of controls. Key Accountabilities

Minimum Qualifications
Preferred Qualification"
